Date        PRECIP  DURATION     MAX_5    MAX_10    MAX_15    MAX_30    MAX_60          ENERGY                    EI30
MO/DA/YR        mm       hrs     mm/hr     mm/hr     mm/hr     mm/hr     mm/hr           MJ/ha             MJ*mm/ha*hr
----------------------------------------------------------------------------------------------------------------------
07/06/2012   11.26      1.67    60.365    53.400    39.512    20.528    10.498           2.810                  57.679
09/25/2012   58.92     39.08    24.240    19.556    16.720    13.683    12.025          10.778                 147.476
06/23/2013   43.26     12.33    38.436    35.650    32.828    19.109    12.594           8.556                 163.509
07/10/2013   12.26     10.92    24.190    19.415    17.743    13.711     7.051           2.492                  34.168
07/17/2013   19.19      3.50    26.160    21.660    18.331    15.688    12.017           3.896                  61.122
07/26/2013   20.86     10.67    53.402    38.061    31.465    18.418     9.588           4.739                  87.284
08/13/2013   35.19     10.92    57.054    46.767    43.178    36.469    21.222           7.708                 281.100
08/19/2013   27.77      8.58    47.555    44.509    42.361    29.436    17.202           6.096                 179.443
08/24/2013   47.51     36.33    27.326    25.322    23.911    17.232    15.486           9.062                 156.160
08/27/2013   19.31     20.75    19.200    19.200    17.488    13.552     8.788           3.563                  48.285
05/11/2014   38.33     10.42    23.904    22.176    20.768    17.188    12.778           7.617                 130.917
06/29/2014   47.89     15.17    26.199    18.354    17.682    14.811     9.409           9.089                 134.615
07/09/2014   18.44     17.17    26.520    24.553    23.129    16.700     9.730           3.615                  60.363
07/21/2014   36.07     15.00    21.758    19.255    16.379    13.312     8.381           6.756                  89.940
08/12/2014   61.21     31.50    39.658    35.883    31.686    24.847    17.973          12.370                 307.354
08/31/2014   35.78     14.50    33.749    28.033    24.859    20.792    13.416           7.075                 147.102
09/21/2014   17.99      7.42    31.466    25.381    22.473    19.261    10.983           4.057                  78.149
05/19/2015   81.19     28.00    21.636    18.018    16.812    14.892    13.628          14.980                 223.078
06/06/2015   37.83      6.17    66.640    48.258    38.520    31.859    18.964           8.801                 280.378
07/08/2015   23.54     11.58    84.299    74.177    64.965    40.021    21.174           5.940                 237.727
07/22/2015   19.08      5.33    87.204    66.834    49.601    26.614    14.570           4.765                 126.807
07/23/2015   18.44     13.75    30.960    26.409    23.379    16.596     8.848           4.045                  67.129
07/29/2015   25.26     19.08    42.792    35.796    33.464    25.053    15.284           5.308                 132.986
07/30/2015   35.39     14.58    22.180    20.540    18.113    13.833     9.761           6.831                  94.489
08/08/2015   18.08     13.42   115.145    73.678    51.411    26.654    14.119           4.386                 116.911
