RIST 3.99.10
RUSLE Storm Output Table for Period of Data Processed.

Date        PRECIP  DURATION     MAX_5    MAX_10    MAX_15    MAX_30    MAX_60          ENERGY                    EI30
MO/DA/YR        mm       hrs     mm/hr     mm/hr     mm/hr     mm/hr     mm/hr           MJ/ha             MJ*mm/ha*hr
----------------------------------------------------------------------------------------------------------------------
01/28/1990   17.52     39.00     2.400     2.400     2.400     2.400     1.992           2.709                   6.502
02/26/1990   14.24     20.75     4.752     3.720     3.984     3.192     2.200           2.213                   7.063
03/25/1990   13.05     13.25     4.848     3.720     3.984     3.192     2.396           2.040                   6.513
03/27/1990   24.56     22.17     2.400     2.400     2.400     2.400     2.200           3.774                   9.058
04/06/1990   23.06     35.67     2.400     2.400     2.400     2.000     2.000           3.561                   7.123
05/19/1990   13.11     33.83     4.752     3.888     3.984     3.192     2.596           2.040                   6.513
05/21/1990   14.76     12.75    11.904     9.660     9.488     7.992     7.772           2.728                  21.799
06/05/1990   33.01     36.67     9.720     8.424     8.016     7.184     6.410           5.566                  39.983
06/07/1990   14.06     17.08     4.800     4.800     4.000     3.592     3.196           2.235                   8.027
06/08/1990   18.63      6.33     9.648     8.424     8.016     7.240     6.620           3.291                  23.826
06/21/1990   14.24      5.00    36.266    30.885    25.617    14.166     8.837           3.005                  42.574
06/28/1990   27.17     10.75    35.493    21.365    15.123    12.376     8.688           5.436                  67.273
07/02/1990   25.92      6.00    19.584    16.644    13.448    10.756     8.153           5.026                  54.055
07/03/1990   18.00     11.75     9.648     8.724     8.016     6.480     4.840           3.123                  20.239
07/06/1990   17.56      4.50    12.000    12.000    11.216    10.472     9.228           3.331                  34.881
07/10/1990   29.36     14.50    53.662    43.031    38.175    23.520    12.160           6.362                 149.626
08/06/1990   35.39     14.92    30.894    20.929    16.122    10.205     7.701           6.400                  65.315
08/15/1990   17.40      7.25    41.034    35.087    29.759    20.816    13.220           3.785                  78.783
08/17/1990   36.62      9.08    29.498    27.468    24.168    21.140    17.667           7.467                 157.845
09/23/1990   58.56     21.25    26.400    26.400    22.016    14.459     9.214          11.002                 159.078
10/04/1990   22.08     16.83     9.648     8.424     7.328     7.208     6.052           3.695                  26.637
10/17/1990   14.67     19.25     7.200     7.200     6.400     4.800     3.776           2.366                  11.354
10/26/1990   18.14     24.58     4.752     3.888     3.184     2.792     2.792           2.842                   7.936
10/28/1990   12.79     16.42     2.400     2.400     1.680     1.640     1.592           1.979                   3.245
